[DEBUG] 2019-09-26 17-23-03.435 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-09-26 17-23-03.440 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-09-26 17-23-03.444 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-09-26 17-23-03.502 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-09-26 17-23-03.504 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-09-26 17-23-03.647 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-09-26 17-23-03.649 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-09-26 17-23-03.652 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-09-26 17-23-03.842 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-09-26 17-23-03.860 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-09-26 17-23-03.862 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-09-26 17-23-03.881 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-09-26 17-23-04.060 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@62b969c4
[DEBUG] 2019-09-26 17-23-04.060 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@62b969c4
[DEBUG] 2019-09-26 17-23-04.060 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@62b969c4
[DEBUG] 2019-09-26 17-23-04.061 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@610df783
[DEBUG] 2019-09-26 17-23-04.062 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@776802b0
[DEBUG] 2019-09-26 17-23-04.062 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6ee8dcd3
[DEBUG] 2019-09-26 17-23-04.063 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@cfbc8e8
[DEBUG] 2019-09-26 17-23-04.063 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@cfbc8e8
[DEBUG] 2019-09-26 17-23-04.063 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@cfbc8e8
[DEBUG] 2019-09-26 17-23-04.064 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1c504e66
[DEBUG] 2019-09-26 17-23-04.064 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1c504e66
[DEBUG] 2019-09-26 17-23-04.064 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1c504e66
[DEBUG] 2019-09-26 17-23-04.065 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35835e65
[DEBUG] 2019-09-26 17-23-04.065 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@35835e65
[DEBUG] 2019-09-26 17-23-04.065 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@35835e65
[DEBUG] 2019-09-26 17-23-04.066 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@11a00961
[DEBUG] 2019-09-26 17-23-04.066 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@11a00961
[DEBUG] 2019-09-26 17-23-04.066 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@11a00961
[DEBUG] 2019-09-26 17-23-04.067 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@53ac845a
[DEBUG] 2019-09-26 17-23-04.067 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@53ac845a
[DEBUG] 2019-09-26 17-23-04.067 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@53ac845a
[DEBUG] 2019-09-26 17-23-04.067 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3cee53dc
[DEBUG] 2019-09-26 17-23-04.067 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3cee53dc
[DEBUG] 2019-09-26 17-23-04.068 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3cee53dc
[DEBUG] 2019-09-26 17-23-04.068 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@79b08632
[DEBUG] 2019-09-26 17-23-04.068 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@79b08632
[DEBUG] 2019-09-26 17-23-04.068 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@79b08632
[DEBUG] 2019-09-26 17-23-04.069 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@45d6ef73
[DEBUG] 2019-09-26 17-23-04.069 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@45d6ef73
[DEBUG] 2019-09-26 17-23-04.070 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@9fec931
[DEBUG] 2019-09-26 17-23-04.070 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@9fec931
[DEBUG] 2019-09-26 17-23-04.071 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@7ce4de34
[DEBUG] 2019-09-26 17-23-04.071 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@7ce4de34
[DEBUG] 2019-09-26 17-23-04.072 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5246a3b3
[DEBUG] 2019-09-26 17-23-04.072 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6df3e44c
[DEBUG] 2019-09-26 17-23-04.073 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@57a48985
[DEBUG] 2019-09-26 17-23-04.073 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@57a48985
[DEBUG] 2019-09-26 17-23-04.074 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3f672204
[DEBUG] 2019-09-26 17-23-04.074 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3f672204
[DEBUG] 2019-09-26 17-23-04.080 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@21422231
[DEBUG] 2019-09-26 17-23-04.080 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@21422231
[DEBUG] 2019-09-26 17-23-04.082 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@76c548f
[DEBUG] 2019-09-26 17-23-04.082 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@76c548f
[DEBUG] 2019-09-26 17-23-04.083 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6f38a289
[DEBUG] 2019-09-26 17-23-04.083 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6f38a289
[DEBUG] 2019-09-26 17-23-04.084 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@328902d5
[DEBUG] 2019-09-26 17-23-04.084 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@328902d5
[DEBUG] 2019-09-26 17-23-04.085 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@12aa4996
[DEBUG] 2019-09-26 17-23-04.086 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@12aa4996
